X,Y,Z
0.441026,0.553567,-0.00591089
0.440986,0.553656,-0.00591234
0.441031,0.553741,-0.00591507
0.440952,0.553809,-0.00591394
0.440813,0.55383,-0.00591223
0.440785,0.553828,-0.00591584
0.440761,0.553884,-0.00590988
0.440732,0.55392,-0.00590851
0.469162,0.509335,-0.00591015
0.526063,0.41993,-0.00591134
0.582817,0.330437,-0.00590715
0.640712,0.239012,-0.00591181
0.675504,0.184677,-0.00591387
0.683367,0.18744,-0.00591303
0.689947,0.194218,-0.00590712
0.695153,0.202162,-0.00591068
0.699025,0.210534,-0.00591321
0.726772,0.215391,-0.00590877
0.829197,0.209532,-0.00590579
0.939522,0.201528,-0.00590841
1.05421,0.193715,-0.00590992
1.16668,0.186262,-0.00590509
1.28573,0.178957,-0.00590792
1.39843,0.172462,-0.00590436
1.51304,0.166199,-0.00591153
1.62458,0.160772,-0.00590703
1.66732,0.161473,-0.00590973
1.66683,0.171133,-0.00590992
1.66442,0.181378,-0.00591361
1.65973,0.19123,-0.0059115
1.65369,0.199179,-0.00590809
1.64615,0.20576,-0.00591024
1.63711,0.211021,-0.00590915
1.62695,0.214691,-0.00590989
1.61923,0.249703,-0.00590791
1.61692,0.365926,-0.00590885
1.61616,0.485081,-0.00591317
1.61553,0.6064,-0.00590949
1.61496,0.725632,-0.00591147
1.61441,0.851275,-0.00591194
1.61396,0.974805,-0.00591145
1.61348,1.10262,-0.00590827
1.613,1.23909,-0.00590735
1.61256,1.369,-0.00590546
1.6122,1.45008,-0.00591851
1.61221,1.45072,-0.00590751
1.61223,1.4508,-0.00591272
1.61228,1.45092,-0.00591382
1.61237,1.45094,-0.00590899
1.61246,1.45102,-0.00591457
1.61252,1.45108,-0.00590992
1.61254,1.45122,-0.00591018
1.61257,1.45121,-0.00591583
1.61257,1.45111,-0.00591057
1.6125,1.45112,-0.00591595
1.61237,1.4512,-0.00590997
1.61225,1.45134,-0.00591019
1.61212,1.4514,-0.0059129
1.612,1.45142,-0.00590802
1.61193,1.45143,-0.00591346
1.61193,1.45141,-0.0059077
1.61194,1.45134,-0.00590768
1.61196,1.45123,-0.00590776
1.61198,1.45113,-0.00590797
1.61194,1.45114,-0.00590807
1.61198,1.45116,-0.00591346
1.61205,1.4513,-0.00590788
1.61218,1.45144,-0.00591542
1.6123,1.45158,-0.00591454
1.61237,1.45163,-0.00590987
1.61239,1.45173,-0.0059111
1.61238,1.45167,-0.00591541
1.61234,1.45167,-0.00591557
1.6122,1.45175,-0.00591339
1.61208,1.45191,-0.00591043
1.61195,1.45196,-0.00591268
1.61179,1.45197,-0.00590804
1.61176,1.45197,-0.00590789
1.61175,1.45196,-0.00590782
1.61183,1.4519,-0.00591154
1.6118,1.45185,-0.00590767
1.6118,1.45174,-0.00591164
1.6118,1.45172,-0.00590844
1.61179,1.45175,-0.00590741
1.61187,1.45193,-0.00590799
1.61199,1.45206,-0.00591505
1.61204,1.45217,-0.00590904
1.61213,1.45226,-0.00591166
1.61215,1.45242,-0.00590996
1.61218,1.45235,-0.00591027
1.61219,1.45226,-0.00591022
1.61207,1.45229,-0.0059099
1.61195,1.45244,-0.00591056
1.61178,1.45259,-0.00590824
1.61163,1.45264,-0.00591137
1.61154,1.45267,-0.00590805
1.61152,1.45266,-0.00591276
1.61148,1.45263,-0.0059077
1.61146,1.45254,-0.00591299
1.61138,1.45256,-0.00590812
1.61136,1.45254,-0.00590766
1.61135,1.45247,-0.00590764
1.6114,1.45263,-0.00590927
1.61153,1.45282,-0.00590815
1.61162,1.45294,-0.00591175
1.61172,1.45308,-0.00590865
1.61181,1.45325,-0.00591007
